id|device_id|created_at|published_at_utc|float_value|int_value|str_value|event_name
16295|250019001247343339383037|2022-12-15 02:47:44.768718+00|2022-12-15 02:47:44.75+00|85.894506|||tempA4
16296|250019001247343339383037|2022-12-15 02:47:44.769871+00|2022-12-15 02:47:44.75+00||4||wifi
16297|e00fce685f262f4ea1486367|2022-12-15 02:50:09.196809+00|2022-12-15 02:50:09.17+00|68|||temp
16298|250019001247343339383037|2022-12-15 02:52:44.584934+00|2022-12-15 02:52:44.562+00|84.298902|||tempA0
16299|250019001247343339383037|2022-12-15 02:52:44.774712+00|2022-12-15 02:52:44.756+00|86.909893|||tempA4
16300|250019001247343339383037|2022-12-15 02:52:44.776309+00|2022-12-15 02:52:44.756+00||4||wifi
16301|e00fce685f262f4ea1486367|2022-12-15 02:55:09.273593+00|2022-12-15 02:55:09.243+00|68|||temp
16302|250019001247343339383037|2022-12-15 02:57:44.63534+00|2022-12-15 02:57:44.61+00|84.443956|||tempA0
16303|250019001247343339383037|2022-12-15 02:57:44.719461+00|2022-12-15 02:57:44.698+00|85.314279|||tempA4
16304|250019001247343339383037|2022-12-15 02:57:44.72085+00|2022-12-15 02:57:44.699+00||4||wifi
16305|e00fce685f262f4ea1486367|2022-12-15 03:00:09.204474+00|2022-12-15 03:00:09.179+00|68|||temp
16306|250019001247343339383037|2022-12-15 03:02:44.581063+00|2022-12-15 03:02:44.555+00|85.169236|||tempA0
16307|250019001247343339383037|2022-12-15 03:02:44.731507+00|2022-12-15 03:02:44.709+00|86.909893|||tempA4
16308|250019001247343339383037|2022-12-15 03:02:44.734959+00|2022-12-15 03:02:44.71+00||4||wifi
16309|e00fce685f262f4ea1486367|2022-12-15 03:05:09.23+00|2022-12-15 03:05:09.201+00|68|||temp
16310|250019001247343339383037|2022-12-15 03:07:44.840747+00|2022-12-15 03:07:44.815+00|85.314279|||tempA0
16311|250019001247343339383037|2022-12-15 03:07:44.872195+00|2022-12-15 03:07:44.815+00|86.329667|||tempA4
16312|250019001247343339383037|2022-12-15 03:07:44.875589+00|2022-12-15 03:07:44.815+00||4||wifi
16313|e00fce685f262f4ea1486367|2022-12-15 03:10:09.326338+00|2022-12-15 03:10:09.243+00|68|||temp
16314|250019001247343339383037|2022-12-15 03:12:44.582286+00|2022-12-15 03:12:44.555+00|84.153848|||tempA0
16315|250019001247343339383037|2022-12-15 03:12:44.783446+00|2022-12-15 03:12:44.76+00|85.314279|||tempA4
16316|250019001247343339383037|2022-12-15 03:12:44.784696+00|2022-12-15 03:12:44.76+00||4||wifi
16317|e00fce685f262f4ea1486367|2022-12-15 03:15:09.465236+00|2022-12-15 03:15:09.266+00|68|||temp
16318|250019001247343339383037|2022-12-15 03:17:44.574191+00|2022-12-15 03:17:44.548+00|85.169236|||tempA0
16319|250019001247343339383037|2022-12-15 03:17:44.762504+00|2022-12-15 03:17:44.737+00|85.459333|||tempA4
16320|250019001247343339383037|2022-12-15 03:17:44.764201+00|2022-12-15 03:17:44.737+00||4||wifi
16321|e00fce685f262f4ea1486367|2022-12-15 03:20:09.604071+00|2022-12-15 03:20:09.303+00|68|||temp
16322|250019001247343339383037|2022-12-15 03:22:44.600016+00|2022-12-15 03:22:44.561+00|84.443956|||tempA0
16323|250019001247343339383037|2022-12-15 03:22:44.802733+00|2022-12-15 03:22:44.779+00|86.039559|||tempA4
16324|250019001247343339383037|2022-12-15 03:22:44.809751+00|2022-12-15 03:22:44.779+00||4||wifi
16325|e00fce685f262f4ea1486367|2022-12-15 03:25:09.434014+00|2022-12-15 03:25:09.328+00|68|||temp
16326|250019001247343339383037|2022-12-15 03:27:44.573713+00|2022-12-15 03:27:44.542+00|84.153848|||tempA0
16327|250019001247343339383037|2022-12-15 03:27:44.824825+00|2022-12-15 03:27:44.801+00|84.879118|||tempA4
16328|250019001247343339383037|2022-12-15 03:27:44.830422+00|2022-12-15 03:27:44.801+00||4||wifi
16329|e00fce685f262f4ea1486367|2022-12-15 03:30:09.570259+00|2022-12-15 03:30:09.361+00|68|||temp
16330|250019001247343339383037|2022-12-15 03:32:44.571852+00|2022-12-15 03:32:44.546+00|83.86373|||tempA0
16331|250019001247343339383037|2022-12-15 03:32:44.769688+00|2022-12-15 03:32:44.749+00|86.619786|||tempA4
16332|250019001247343339383037|2022-12-15 03:32:44.771006+00|2022-12-15 03:32:44.749+00||4||wifi
16333|e00fce685f262f4ea1486367|2022-12-15 03:35:09.707447+00|2022-12-15 03:35:09.459+00|68|||temp
16334|250019001247343339383037|2022-12-15 03:37:44.568072+00|2022-12-15 03:37:44.541+00|84.879118|||tempA0
